#         t        kpc         Ms         Mh       r_jb
      0.000    201.085     15.755     71.543     96.379
     71.429    190.379     12.832     69.954     85.856
    142.857    179.613     12.108     67.038     80.584
    214.286    168.991     12.052     68.531     75.147
    285.714    157.399     11.627     64.640     70.520
    357.143    145.690     11.496     64.613     65.037
    428.571    133.840     10.667     62.076     59.059
    500.000    122.156     10.294     59.095     54.149
    571.429    111.814      9.992     60.239     48.761
    642.857    101.479      9.522     56.616     44.459
    714.286     92.179      8.943     53.376     40.334
    785.714     85.080      8.630     51.139     37.316
    857.143     80.757      7.838     48.705     34.865
    928.571     79.781      7.652     48.164     34.295
   1000.000     82.209      7.734     47.939     35.520
   1071.430     88.932      7.637     51.788     37.292
   1142.860     97.150      7.969     52.690     41.083
   1214.290    106.388      8.010     55.258     44.357
   1285.710    116.168      8.383     57.586     48.504
   1357.140    126.273      8.577     59.826     52.455
   1428.570    136.142      8.779     63.739     55.803
   1500.000    145.590      8.678     65.849     58.805
   1571.430    154.464      8.719     67.828     61.874
   1642.860    163.001      8.637     68.937     64.737
   1714.290    171.042      8.697     70.514     67.575
   1785.710    178.163      8.831     71.209     70.518
   1857.140    184.786      8.671     72.759     72.174
   1928.570    190.708      8.256     72.934     73.223
   2000.000    196.113      8.305     74.307     74.978
   2071.430    200.790      8.204     74.985     76.223
   2142.860    204.672      7.999     74.020     77.376
   2214.290    208.048      7.977     73.586     78.733
   2285.710    211.117      8.115     73.360     80.436
   2357.140    213.663      8.003     73.181     81.096
   2428.570    215.740      7.570     73.159     80.388
   2500.000    217.306      7.499     72.841     80.835
   2571.430    218.305      7.506     72.279     81.444
   2642.860    218.727      7.372     72.352     81.084
   2714.290    218.648      7.267     72.773     80.514
   2785.710    218.025      7.055     72.093     79.742
   2857.140    217.195      7.058     71.731     79.587
   2928.570    215.456      6.920     72.184     78.267
   3000.000    213.210      7.099     71.475     78.371
   3071.430    210.392      7.088     69.031     78.196
   3142.860    206.785      6.715     69.012     75.489
   3214.290    202.724      6.883     68.390     74.844
   3285.710    197.831      6.652     67.578     72.498
   3357.140    192.892      6.491     70.174     69.239
   3428.570    185.392      6.424     66.467     67.527
   3500.000    177.644      6.360     66.758     64.397
   3571.430    169.041      6.413     65.945     61.698
   3642.860    159.572      6.297     67.281     57.503
   3714.290    148.292      6.021     63.678     53.621
   3785.710    135.244      6.185     62.526     49.644
   3857.140    120.328      6.196     59.446     44.946
   3928.570    103.459      5.793     56.835     38.358
   4000.000     86.071      5.502     51.310     32.455
   4071.430     71.832      5.159     43.922     27.920
   4142.860     61.770      4.983     37.452     25.029
   4214.290     56.315      4.774     33.160     23.426
   4285.710     55.905      4.422     32.252     22.881
   4357.140     60.028      4.036     32.785     23.701
   4428.570     66.742      3.990     33.725     26.005
   4500.000     74.366      3.911     34.910     28.453
   4571.430     82.465      3.972     36.881     31.140
   4642.860     91.239      4.083     41.783     33.356
   4714.290     98.796      4.158     43.795     35.771
   4785.710    105.758      4.140     45.862     37.655
   4857.140    112.746      4.144     46.624     39.936
   4928.570    119.537      3.968     48.508     41.185
   5000.000    126.416      4.166     50.073     43.801
   5071.430    134.001      3.967     50.760     45.473
   5142.860    142.216      4.346     50.463     49.849
   5214.290    151.386      4.279     52.356     52.143
   5285.710    159.661      4.621     52.461     56.386
   5357.140    163.526      4.484     52.359     57.211
   5428.570    164.238      4.537     52.583     57.602
   5500.000    162.918      4.386     51.211     56.999
   5571.430    159.507      4.333     50.314     55.908
   5642.860    154.497      4.132     49.433     53.615
   5714.290    147.969      3.772     48.656     50.077
   5785.710    139.370      3.307     46.003     45.996
   5857.140    127.467      3.020     44.195     41.363
   5928.570    118.414      2.845     39.726     39.029
   6000.000    114.336      2.474     39.341     36.086
   6071.430    111.449      2.490     40.411     34.939
   6142.860    108.994      2.356     37.747     34.316
   6214.290    105.705      2.491     33.444     35.299
   6285.710    100.777      2.406     31.216     34.039
   6357.140     92.834      2.317     29.281     31.634
   6428.570     83.962      2.169     27.281     28.657
   6500.000     75.057      2.277     28.472     25.668
   6571.430     63.324      2.178     22.919     22.935
   6642.860     53.648      2.097     20.331     19.969
   6714.290     47.593      1.918     20.155     17.245
   6785.710     48.092      1.853     21.212     16.936
   6857.140     54.311      1.901     22.489     18.917
   6928.570     62.957      1.820     23.465     21.309
   7000.000     72.301      1.808     24.948     23.923
   7071.430     81.437      2.044     26.723     27.436
   7142.860     89.848      1.990     30.062     28.850
   7214.290     96.572      1.998     31.494     30.571
   7285.710    101.870      1.999     33.175     31.700
   7357.140    105.741      2.120     34.200     33.213
   7428.570    107.989      2.047     35.037     33.258
   7500.000    108.901      1.982     35.827     32.934
   7571.430    108.118      1.897     34.773     32.548
   7642.860    105.871      1.820     32.775     32.058
   7714.290    102.356      1.919     32.685     31.573
   7785.710     97.025      1.877     32.223     29.850
   7857.140     90.273      1.714     29.175     27.855
   7928.570     82.295      1.809     29.252     25.830
   8000.000     72.924      1.759     27.073     23.270
   8071.430     62.684      1.654     24.442     20.274
   8142.860     52.814      1.645     22.188     17.611
   8214.290     45.270      1.558     19.369     15.512
   8285.710     42.894      1.524     17.529     15.081
   8357.140     46.429      1.462     19.570     15.519
   8428.570     53.956      1.646     23.043     17.769
   8500.000     62.323      1.535     25.062     19.497
   8571.430     70.238      1.500     26.989     21.274
   8642.860     76.996      1.517     28.981     22.859
   8714.290     82.460      1.591     29.772     24.650
   8785.710     86.439      1.659     31.525     25.707
   8857.140     88.747      1.521     31.816     25.564
   8928.570     89.071      1.491     32.343     25.347
   9000.000     88.062      1.579     31.425     25.793
   9071.430     85.056      1.543     30.324     25.018
   9142.860     80.548      1.472     28.976     23.679
   9214.290     74.061      1.403     27.034     21.924
   9285.710     65.809      1.324     24.906     19.639
   9357.140     56.162      1.404     23.228     17.494
   9428.570     46.144      1.472     20.314     15.269
   9500.000     37.984      1.352     17.761     12.778
   9571.430     36.474      1.346     18.041     12.188
   9642.860     42.552      1.210     19.570     13.353
   9714.290     52.035      1.234     22.369     15.720
   9785.710     60.947      1.241     24.403     17.922
   9857.140     68.253      1.144     25.757     19.187
   9928.570     73.523      1.247     26.861     20.972
  10000.000     76.600      1.238     27.652     21.588
  10071.400     77.298      1.236     29.205     21.379
  10142.900     75.747      1.241     29.246     20.968
  10214.300     72.077      1.207     28.332     19.977
  10285.700     65.944      1.221     25.752     18.942
  10357.100     58.016      1.249     24.380     17.103
  10428.600     48.681      1.117     20.962     14.541
  10500.000     39.972      1.131     18.863     12.416
  10571.400     35.159      1.063     17.372     10.996
  10642.900     37.953      1.120     19.208     11.681
  10714.300     45.247      1.125     20.491     13.649
  10785.700     53.423      1.113     21.455     15.812
  10857.100     60.633      1.076     24.173     17.055
  10928.600     66.172      1.112     26.228     18.314
  11000.000     69.481      1.137     26.766     19.240
  11071.400     70.540      1.141     27.705     19.332
  11142.900     69.593      1.037     27.925     18.430
  11214.300     66.242      1.029     27.081     17.674
  11285.700     60.527      1.018     25.478     16.425
  11357.100     52.682      1.036     23.093     14.859
  11428.600     43.145      1.106     20.127     13.018
