#         t        kpc         Ms         Mh       r_jb
  10357.100     58.016      1.249     22.375     17.600
  10428.600     48.681      1.125     19.346     14.972
  10500.000     39.972      1.131     17.319     12.776
  10571.400     35.159      1.064     15.979     11.311
  10642.900     37.953      1.121     17.675     12.012
  10714.300     45.247      1.126     18.865     14.033
  10785.700     53.423      1.121     19.645     16.323
  10857.100     60.633      1.088     22.190     17.613
  10928.600     66.172      1.114     24.108     18.846
  11000.000     69.481      1.145     24.655     19.824
  11071.400     70.540      1.145     25.618     19.868
  11142.900     69.593      1.042     25.864     18.933
  11214.300     66.242      1.040     25.000     18.220
  11285.700     60.527      1.026     23.616     16.888
  11357.100     52.682      1.037     21.417     15.241
  11428.600     43.145      1.121     18.608     13.424
